2023-04-01|09:20:18|Organic Groceries|Sprouts Market|-87.85
2023-04-01|12:45:30|Women running shoes|Puma|-39.99
2023-04-02|17:30:05|Bluetooth headphones|Amazon|-109.99
2023-04-03|08:15:40|Dumbell Set|Amazon|-68.00
2023-04-04|13:10:15|Latte Orders|Starbucks|-14.99
2023-04-04|15:20:30|Women's sunglasses|Oakleys|-169.00
2023-04-05|11:05:45|Office chair|Staples|-149.99
2023-04-05|14:40:10|For Movie Tickets|Ethan D|20.00
2023-04-06|10:30:00|Deposit Weekly Salary|Employer Corp|779.99
2023-04-07|16:20:15|Curtain Set|Bed Bath & Beyond|-39.99
2023-04-07|18:45:20|Cocoa Nibs|Amazon|-19.99
2023-04-08|12:10:30|Running Shorts|Under Armour|-10.25
2023-04-08|14:55:15|Wireless charger|Apple Store|-59.00
2023-04-09|09:15:45|Air purifier|WalMart|-199.00
2023-04-10|13:25:50|For Peachs Restaurant Bill|M Martinez|15.50
2023-04-10|15:40:10|Women Perfume|Macy's|-179.99
2023-04-11|11:05:30|Drawing tablet|Best Buy|-99.99
2023-04-11|14:50:15|For Disney World Trip|Fernanda G|+199.00
2023-04-12|10:35:20|For Disney World Trip|David M|+200.00
2023-04-13|12:40:30|Electric bike|Walmart|-89.00
2023-04-13|16:15:45|Deposit Weekly Salary |Employer Corp|779.00
2023-04-14|08:30:10|Gift Bags|Target|-10.00
2023-04-14|11:20:00|Auto Insurance|Farmers Insurance|-134.99
2023-04-15|13:25:30|Organic Groceries|Sprouts Market|-99.99
2023-04-16|15:50:45|Monthly Membership|Amazon|-19.99
2022-06-01|09:10:25|Deposit|Bank of America|1000.00
2022-10-11|14:15:30|Deposit|Chase Bank|500.00
2022-02-07|11:20:15|Deposit|Wells Fargo|250.00
2023-02-11|09:10:25|Deposit|Bank of America|1700.00
2023-03-21|14:15:30|Deposit|Chase Bank|800.00
2023-04-27|11:20:15|Deposit|Wells Fargo|1250.00
